SMILES,Name,True_BBB,Prediction,Correct,Confidence,Prob_BBB_Plus,Prob_BBB_Minus
NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,Compound_1,BBB+,BBB+,True,100.00%,1.0,0.0
O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,Compound_2,BBB+,BBB-,False,92.08%,0.0792,0.9208
OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,Compound_3,BBB+,BBB-,False,98.48%,0.0152,0.9848
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,Compound_4,BBB-,BBB+,False,52.15%,0.5215,0.4785
NC[C@@H](O)c1cccc(O)c1,Compound_5,BBB-,BBB-,True,75.67%,0.2433,0.7567
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,Compound_6,BBB-,BBB-,True,86.80%,0.132,0.868
[N-]=[NH+][O-],Compound_7,BBB+,BBB+,True,100.00%,1.0,0.0
C[C@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@H]3CC[S+]([O-])C3)S[C@@H]12,Compound_8,BBB-,BBB-,True,99.99%,0.0001,0.9999
CCOc1ccc(CCCNC(=O)[C@@H](C)SCc2ccccc2)cc1,Compound_9,BBB-,BBB+,False,80.52%,0.8052,0.1948
O=[N+]([O-])c1[nH]ccc1NCCSCc1ncccc1Br,Compound_10,BBB+,BBB+,True,83.97%,0.8397,0.1603
O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,Compound_11,BBB+,BBB+,True,100.00%,1.0,0.0
O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,Compound_12,BBB-,BBB-,True,98.37%,0.0163,0.9837
CNC(NC#N)Nc1cccc(-c2csc(NC(N)N)n2)c1,Compound_13,BBB-,BBB-,True,85.20%,0.148,0.852
CNCCCN1c2ccccc2Sc2cccc(Cl)c21,Compound_14,BBB+,BBB+,True,100.00%,1.0,0.0
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,Compound_15,BBB-,BBB-,True,74.01%,0.2599,0.7401
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@@H]12)c1ccccc1,Compound_16,BBB-,BBB-,True,99.27%,0.0073,0.9927
NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,Compound_17,BBB+,BBB+,True,76.21%,0.7621,0.2379
O=C(OOC(=O)c1ccccc1)c1ccccc1,Compound_18,BBB-,BBB-,True,91.51%,0.0849,0.9151
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,Compound_19,BBB+,BBB+,True,68.01%,0.6801,0.3199
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Compound_20,BBB+,BBB-,False,75.14%,0.2486,0.7514
COc1cccnc1CCCCNC1=NC(=O)[C@H](Cc2ccc(C)nc2)C=N1,Compound_21,BBB-,BBB-,True,77.96%,0.2204,0.7796
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,Compound_22,BBB+,BBB+,True,100.00%,1.0,0.0
CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO,Compound_23,BBB-,BBB-,True,99.83%,0.0017,0.9983
CC1CCN(CCC2CCN2S(=O)(=O)c2cccc(O)c2)CC1,Compound_24,BBB+,BBB+,True,99.96%,0.9996,0.0004
Clc1ccc2c(c1)[C@H]1CNC[C@H]1c1ccccc1O2,Compound_25,BBB+,BBB+,True,100.00%,1.0,0.0
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF,Compound_26,BBB+,BBB+,True,99.98%,0.9998,0.0002
CC=CC(=O)N(CCC)[C@@H](CC)C(=O)N(C)C,Compound_27,BBB+,BBB+,True,99.72%,0.9972,0.0028
CC(=O)O[C@@H]1C[C@@H]2C(COC(=O)CC(C)C)=CO[C@@H](OC(=O)CC(C)C)[C@H]2[C@@]12CO2,Compound_28,BBB+,BBB+,True,99.99%,0.9999,0.0001
O=C(O)CCCCCCCC(=O)O,Compound_29,BBB-,BBB+,False,99.56%,0.9956,0.0044
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,Compound_30,BBB-,BBB-,True,97.58%,0.0242,0.9758
O=C(O)CNC(=O)c1ccccc1O,Compound_31,BBB+,BBB-,False,71.19%,0.2881,0.7119
CCS(=O)(=O)[C@H]1[C@H](c2ccc3c(c2)OCO3)[C@]1(C#N)COC,Compound_32,BBB+,BBB+,True,74.57%,0.7457,0.2543
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,Compound_33,BBB+,BBB+,True,99.76%,0.9976,0.0024
