SMILES,Name,True_BBB,Pred_BBB_Plus,Pred_BBB_Plus_Prob,Pred_BBB_Minus,Pred_BBB_Minus_Prob,Confidence
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,Compound_103,BBB-,BBB+,0.6772,,,67.72%
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,Compound_151,BBB-,BBB+,0.744,,,74.40%
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,Compound_158,BBB-,BBB+,0.9991,,,99.91%
CC(C)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,Compound_123,BBB-,BBB+,0.703,,,70.30%
CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,Compound_110,BBB-,BBB+,0.9242,,,92.42%
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,Compound_109,BBB-,BBB+,0.7216,,,72.16%
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,Compound_163,BBB-,BBB+,0.6224,,,62.24%
Cc1ccc(=O)n(-c2ccccc2)c1,Compound_93,BBB-,BBB+,0.5171,,,51.71%
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,Compound_175,BBB-,BBB+,0.8971,,,89.71%
C[NH+](C)Cc1ccc(CSCCNc2[nH]ccc2[N+](=O)[O-])o1,Compound_70,BBB-,BBB+,0.9435,,,94.35%
CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,Compound_61,BBB-,BBB+,0.5006,,,50.06%
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,Compound_57,BBB-,BBB+,0.7464,,,74.64%
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(=O)[nH][n+]3C)CSC12)c1csc(N)n1,Compound_177,BBB-,BBB+,0.5019,,,50.19%
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,Compound_180,BBB-,BBB+,0.9793,,,97.93%
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,Compound_38,BBB-,BBB+,0.5206,,,52.06%
COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,Compound_36,BBB-,BBB+,0.7714,,,77.14%
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Compound_35,BBB-,BBB+,0.8668,,,86.68%
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,Compound_186,BBB-,BBB+,0.9652,,,96.52%
O=C(O)CCCCCCCC(=O)O,Compound_29,BBB-,BBB+,0.9956,,,99.56%
CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,Compound_192,BBB-,BBB+,0.9984,,,99.84%
CCOc1ccc(CCCNC(=O)[C@@H](C)SCc2ccccc2)cc1,Compound_9,BBB-,BBB+,0.8052,,,80.52%
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,Compound_4,BBB-,BBB+,0.5215,,,52.15%
O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,Compound_166,BBB+,,,BBB-,0.9832,98.32%
CCC[C@@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,Compound_153,BBB+,,,BBB-,0.8032,80.32%
O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,Compound_2,BBB+,,,BBB-,0.9208,92.08%
c1ccc(CC2=NCCN2)cc1,Compound_145,BBB+,,,BBB-,0.9871,98.71%
Cn1c(=O)c2c(ncn2CCCNC[C@@H](O)c2cc(O)cc(O)c2)n(C)c1=O,Compound_133,BBB+,,,BBB-,0.9027,90.27%
CC[C@H](NC(=O)c1ccc([N+](=O)[O-])c(C)c1)c1ccc(C)c(C)c1,Compound_108,BBB+,,,BBB-,0.8366,83.66%
OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,Compound_3,BBB+,,,BBB-,0.9848,98.48%
NC[C@@H]1[C@@H](c2ccc3c(c2)OCO3)[C@@H]1S(=O)(=O)c1ccccc1,Compound_77,BBB+,,,BBB-,0.7425,74.25%
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,Compound_56,BBB+,,,BBB-,0.7643,76.43%
CN1[C@H](CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,Compound_40,BBB+,,,BBB-,0.9873,98.73%
O=C(O)CNC(=O)c1ccccc1O,Compound_31,BBB+,,,BBB-,0.7119,71.19%
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Compound_20,BBB+,,,BBB-,0.7514,75.14%
COC(=O)C[C@H](c1cc(OC)c2c(c1)OCO2)c1oc(CN2C[C@@H]3C[C@H](C2)c2cccc(=O)n2C3)cc(=O)c1O,Compound_195,BBB+,,,BBB-,0.5469,54.69%
