sequence,type,label
NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,SMILES,1
O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,SMILES,1
OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,SMILES,1
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,SMILES,0
NC[C@@H](O)c1cccc(O)c1,SMILES,0
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,SMILES,0
[N-]=[NH+][O-],SMILES,1
C[C@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@H]3CC[S+]([O-])C3)S[C@@H]12,SMILES,0
CCOc1ccc(CCCNC(=O)[C@@H](C)SCc2ccccc2)cc1,SMILES,0
O=[N+]([O-])c1[nH]ccc1NCCSCc1ncccc1Br,SMILES,1
O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,SMILES,1
O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,SMILES,0
CNC(NC#N)Nc1cccc(-c2csc(NC(N)N)n2)c1,SMILES,0
CNCCCN1c2ccccc2Sc2cccc(Cl)c21,SMILES,1
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,SMILES,0
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@@H]12)c1ccccc1,SMILES,0
NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,SMILES,1
O=C(OOC(=O)c1ccccc1)c1ccccc1,SMILES,0
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,SMILES,1
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,SMILES,1
COc1cccnc1CCCCNC1=NC(=O)[C@H](Cc2ccc(C)nc2)C=N1,SMILES,0
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,SMILES,1
CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO,SMILES,0
CC1CCN(CCC2CCN2S(=O)(=O)c2cccc(O)c2)CC1,SMILES,1
Clc1ccc2c(c1)[C@H]1CNC[C@H]1c1ccccc1O2,SMILES,1
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF,SMILES,1
CC=CC(=O)N(CCC)[C@@H](CC)C(=O)N(C)C,SMILES,1
CC(=O)O[C@@H]1C[C@@H]2C(COC(=O)CC(C)C)=CO[C@@H](OC(=O)CC(C)C)[C@H]2[C@@]12CO2,SMILES,1
O=C(O)CCCCCCCC(=O)O,SMILES,0
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,SMILES,0
O=C(O)CNC(=O)c1ccccc1O,SMILES,1
CCS(=O)(=O)[C@H]1[C@H](c2ccc3c(c2)OCO3)[C@]1(C#N)COC,SMILES,1
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,SMILES,1
CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,SMILES,1
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,SMILES,0
COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,SMILES,0
CC12CCC3C4C=CC(=O)NC4CCC3C1CCC2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,SMILES,0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,SMILES,0
CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,SMILES,0
CN1[C@H](CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,SMILES,1
Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,SMILES,1
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,SMILES,0
CC1(C)O[C@H]2C[C@H]3[C@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,SMILES,1
CC(=O)O[C@@H]1CC[C@@]2(C)[C@H]3CC[C@@]4(C)[C@@H]([C@@H](C)CCCC(C)C)CC[C@H]4[C@H]3C[C@H](Br)[C@@]2(Br)C1,SMILES,1
CCOC(=O)[C@@]1(N)[C@@H](c2ccccc2)[C@@H]1S(=O)(=O)c1ccc(C)cc1,SMILES,0
CCOC(=O)O[C@H](C)OC(=O)[C@H]1N2C(=O)[C@H](/N=C/N3CCCCCC3)[C@@H]2SC1(C)C,SMILES,0
O=C1C[C@H]2SC(C3(O)CN4C(=O)C[C@H]4S3)CN12,SMILES,1
CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,SMILES,1
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)C[S+]([O-])[C@@H]12)c1csc(N)n1,SMILES,0
COc1ccc(C(C)(C)C)cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,SMILES,1
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1,SMILES,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3cnns3)CS[C@H]12)c1csc(N)n1,SMILES,0
