atom_id,symbol,attention_score,attention_norm,group
0,O,0.9999351501464844,0.0,backbone
1,C,0.9999814033508301,0.7145488262176514,backbone
2,N,0.9999814033508301,0.7145488262176514,backbone
3,C,0.9999915957450867,0.8720073699951172,sidechain
4,C,0.9999905824661255,0.8563535809516907,sidechain
5,N,0.999990701675415,0.8581951856613159,backbone
6,C,0.9999821782112122,0.7265193462371826,sidechain
7,C,0.9999953508377075,0.930018424987793,sidechain
8,C,0.9999768137931824,0.6436464190483093,sidechain
9,N,0.9999876022338867,0.8103130459785461,sidechain
10,C,0.9999804496765137,0.6998158097267151,sidechain
11,C,0.999990701675415,0.8581951856613159,sidechain
12,C,0.9999998807907104,1.0,sidechain
13,C,0.9999814629554749,0.7154695987701416,sidechain
14,O,0.9999907612800598,0.8591160178184509,sidechain
15,C,0.9999906420707703,0.8572744131088257,sidechain
16,C,0.9999953508377075,0.930018424987793,sidechain
17,C,0.9999675750732422,0.500920832157135,sidechain
18,C,0.9999675750732422,0.500920832157135,sidechain
19,C,0.9999953508377075,0.930018424987793,sidechain
20,C,0.999990701675415,0.8581951856613159,sidechain
21,O,0.9999721646308899,0.5718231797218323,sidechain
22,C,0.9999768137931824,0.6436464190483093,sidechain
23,C,0.9999953508377075,0.930018424987793,sidechain
