atom_count_C,atom_count_N,atom_count_O,atom_count_S,atom_count_P,atom_count_F,atom_count_Cl,atom_count_Br,atom_count_I,atom_count_B,motif_count_amide,motif_count_amine,motif_count_hydroxyl,motif_count_carboxyl,motif_count_aromatic_ring,motif_count_halogen,motif_count_sulfonamide,motif_count_hetero5_ring,motif_count_hetero6_ring,num_atoms,num_bonds,tpsa,logp,hbd,hba,rot_bonds,ring_count
19.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,27.0,29.0,126.23,0.8905,3.0,7.0,6.0,3.0
26.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,35.0,37.0,115.48,4.37782,1.0,8.0,10.0,3.0
23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,28.0,30.0,24.94,4.1013,0.0,4.0,9.0,3.0
24.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,32.0,35.0,103.17,3.20088,2.0,7.0,7.0,4.0
23.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,31.0,34.0,69.22,2.7853,0.0,5.0,3.0,4.0
14.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,19.0,21.0,42.21,2.64482,1.0,4.0,1.0,3.0
27.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,44.0,48.0,197.16,1.82234,2.0,15.0,11.0,5.0
10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,18.0,111.51,1.0378,3.0,5.0,1.0,2.0
9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,15.0,16.0,83.72,0.5149,2.0,5.0,2.0,2.0
15.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,24.0,64.43,2.4747,0.0,6.0,1.0,3.0
11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,20.0,20.0,95.5,1.28439,3.0,3.0,3.0,1.0
75.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,11.0,0.0,0.0,0.0,5.0,0.0,117.0,121.0,629.14,-3.7488,26.0,31.0,61.0,5.0
23.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,29.0,32.0,57.69,3.7955,0.0,3.0,6.0,4.0
60.0,24.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,7.0,1.0,0.0,0.0,5.0,0.0,101.0,105.0,648.51,-5.50749,31.0,27.0,52.0,5.0
5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,10.0,11.0,74.69,0.0585,2.0,4.0,0.0,2.0
18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,21.0,23.0,50.44,4.0405,1.0,3.0,3.0,3.0
