feature,median,q1,q3,iqr
tpsa,0.14818956210618728,0.13460657229214856,0.1564072721068256,0.021800699814677027
rot_bonds,0.0260720120052473,0.022504771650310697,0.029386274777841812,0.006881503127531115
logp,0.01694820994371106,0.014208860470003273,0.01972815647735307,0.005519296007349798
motif_count_aromatic_ring,0.016137162074354013,0.012266825842175068,0.024527108036362655,0.012260282194187587
atom_count_O,0.01231083502956148,0.010103990554695743,0.024920689575076295,0.014816699020380552
motif_count_carboxyl,0.012186365562094268,0.008709985566965736,0.017694605782229495,0.008984620215263759
motif_count_hetero6_ring,0.009914622946838345,0.005631638586893747,0.013180577168420388,0.007548938581526641
atom_count_C,0.009373286697080478,0.008403515426705635,0.01151795592161226,0.0031144404949066257
motif_count_hydroxyl,0.009274817236090013,0.006307020126912081,0.013364753315688167,0.007057733188776086
atom_count_N,0.009087169901185037,0.008731023494800021,0.01820407588049381,0.009473052385693789
hbd,0.007710511891218099,0.006465802452685502,0.012438845844341778,0.005973043391656276
num_atoms,0.007619675223983101,0.006932209670252635,0.008093369208254571,0.0011611595380019366
motif_count_hetero5_ring,0.007299073290086371,0.00594547983313604,0.008477513365551468,0.002532033532415428
motif_count_amide,0.007215036374827712,0.006220512914704981,0.008713267078530195,0.0024927541638252136
ring_count,0.007132955232967656,0.005970878823456814,0.010018306120903648,0.004047427297446834
motif_count_amine,0.00704441786262283,0.004562239795045328,0.020784810132919718,0.01622257033787439
atom_count_S,0.006730880276881925,0.003935219896837231,0.008378787111549667,0.004443567214712436
num_bonds,0.006646082445905016,0.005764847026018109,0.0081520677133457,0.0023872206873275905
hba,0.00652500724648724,0.005453689195144905,0.00901413261383536,0.0035604434186904555
motif_count_halogen,0.0028672799105211974,0.0019392066376050319,0.0032665296905503693,0.0013273230529453374
atom_count_Cl,0.0019192350710028467,0.001355255405389953,0.0027093980250806763,0.0013541426196907232
atom_count_F,0.0016546403511822755,0.0012985461800945459,0.0020953135902708107,0.0007967674101762648
motif_count_sulfonamide,0.0008706938646328626,0.0004837655428990912,0.001427673338285445,0.0009439077953863538
atom_count_P,0.000166815878360189,2.4809542237937073e-05,0.0003699354793427862,0.0003451259371048492
atom_count_Br,0.00012329709312898767,3.735464351277289e-05,0.0001713285938798974,0.00013397395036712453
atom_count_I,1.9271869310778363e-05,1.2752528383621874e-07,4.3229549674501014e-05,4.3102024390664796e-05
atom_count_B,0.0,0.0,0.0,0.0
